Rank,Username,Score,CurrConSolved,time_taken,total_fail,Country,Profile_rank,PostViewCnt,Reputation,Total_solved,Easy,Medium,Hard,ContestCnt,CurrRating,rating_first,GlobalRank,active_days,contest_id
5795,chandu7042,7,2,815,0,India,120360,0,2,609,173,370,66,45,1816,1479,59931,1876,2
5065,Ankita356,9,2,4816,1,India,517432,0,0,273,147,112,14,5,1511,1476,348421,35,2
5424,tharun_2k5,7,2,630,0,India,90836,0,0,682,248,377,57,75,1695,1411,115488,749,2
9928,anup_code,7,2,2209,2,,155501,0,0,544,106,352,86,43,1740,1477,89627,945,2
8502,vivek1435,7,2,1716,0,India,140920,7,0,569,437,126,6,7,1485,1415,419490,308,2
1659,BodaciousLord007,13,3,2306,1,,427077,0,0,310,83,167,60,19,2062,1538,14992,378,2
5322,Reena__,7,2,545,0,,4161856,0,0,19,8,11,0,9,1638,1587,160156,70,2
6578,lakshya1000,7,2,1091,0,,3019094,0,0,35,11,17,7,6,1717,1551,101856,35,2
4052,palvaishnavi01,13,3,5351,4,India,462083,0,0,294,74,180,40,23,1646,1487,152796,232,2
7906,CreativePavilion,7,2,1529,0,,652302,0,0,231,110,113,8,39,1447,1442,545736,442,2
8620,HG3010,7,2,1756,0,India,118668,18,0,613,221,358,34,36,1589,1433,212599,364,2
4854,greedy_luffy_30,9,2,3216,1,,1315443,0,0,121,29,80,12,14,1694,1553,116295,147,2
6539,RajeshBandaru,7,2,1075,0,India,532621,7,0,266,124,128,14,3,1614,1459,183414,252,2
4940,124CS0095,9,2,3870,0,,1859914,0,0,75,38,34,3,16,1630,1487,166993,98,2
6883,tushar_singh1206,7,2,1200,0,India,126799,0,16,596,274,290,32,12,1634,1508,163464,140,2
4025,up23,13,3,5319,1,,3138998,0,0,33,8,19,6,4,1743,1619,88173,21,2
7724,pramukh165,7,2,1467,0,,140858,18,0,569,142,361,66,30,1963,1500,25406,630,2
6500,yranka309,7,2,1063,0,India,882227,273,0,174,44,93,37,9,1663,1487,138031,2184,2
5683,nothing_420,7,2,764,0,,601133,0,0,244,131,107,6,18,1590,1412,211735,385,2
6353,dhruvpanakanti,7,2,1011,0,,1569208,0,0,94,54,38,2,13,1651,1501,147745,336,2
9563,JAISHREE06,7,2,2073,2,,46956,0,0,862,469,350,43,45,1640,1498,158325,210,2
2692,YeShud,13,3,3824,1,,2488765,0,0,49,18,26,5,6,1786,1586,70328,105,2
2038,algowiz826004,13,3,2979,3,India,106796,0,1,640,221,359,60,33,2016,1648,19075,329,2
764,trinityjohnson,19,4,4610,1,,5000001,0,0,4,1,1,2,1,1749,1749,85729,0,2
8890,Jayant32,7,2,1851,1,,235759,0,0,443,125,275,43,18,1621,1503,175934,218,2
9129,vitaminprotin21,7,2,1935,0,,530369,0,0,267,80,161,26,38,1684,1456,122872,372,2
8373,armangupta11,7,2,1669,0,India,486918,0,0,285,85,146,54,19,1623,1432,174138,588,2
7387,tulasi22,7,2,1358,1,India,697498,0,0,217,142,61,14,33,1561,1430,253207,414,2
5231,PRANAYDEEP,7,2,420,0,,341382,0,0,358,166,176,16,37,1748,1412,86022,385,2
7956,stwik_1442005,7,2,1545,1,,5415,1301,4,1564,428,908,228,91,1774,1453,74965,806,2
2196,om30codeq,13,3,3222,0,India,88761,5,0,688,206,377,105,28,1983,1412,22884,595,2
1797,shivalt,13,3,2577,3,India,78804,0,0,721,240,412,69,16,1722,1415,99077,120,2
7831,priyanshisoni14,7,2,1503,0,,274213,0,0,409,141,212,56,6,1546,1454,279035,273,2
3786,Mitesh9625,13,3,5064,1,,221374,13,0,458,137,286,35,23,1659,1509,141870,504,2
7697,teju1234,7,2,1457,1,United States,99281,0,0,658,167,479,12,61,1698,1430,113953,707,2
3276,komal2001,13,3,4490,2,,562688,0,0,254,79,143,32,11,1582,1464,222834,1456,2
6242,Yashash08,7,2,976,0,,738546,0,0,205,80,105,20,10,1725,1501,97677,210,2
1352,swap2702,13,3,1205,0,India,199837,11231,45,482,192,248,42,31,1989,1417,22161,2163,2
5033,SindhujaBhaskar,9,2,4614,0,,2988111,0,0,49,29,17,3,14,1636,1413,161583,105,2
4792,JATIN475,9,2,2644,0,India,834533,0,0,186,65,106,15,3,1671,1530,132583,154,2
7704,kg_codex2,7,2,1461,0,India,567486,5,1,253,69,160,24,44,1886,1525,39959,274,2
2952,tientrung2899,13,3,4130,1,,41719,2,0,898,247,512,139,17,1853,1540,49509,119,2
854,mitochondria2,19,4,4932,3,India,9644,30,2,1358,287,715,356,90,2069,1445,14453,1043,2
8250,renukumar07,7,2,1637,0,India,101971,10584,32,651,358,252,41,152,1275,1431,849492,1408,2
7269,harshalbhavsar213,7,2,1322,0,,195368,0,0,488,179,278,31,24,1729,1479,95307,315,2
8512,nniteshprasad1,7,2,1719,1,India,47859,15,0,856,288,483,85,17,1540,1471,288672,1134,2
4996,Sidhavan24,9,2,4314,0,,4065357,0,0,20,9,10,1,13,1520,1458,327980,112,2
5564,gibjun,7,2,703,0,,402233,0,0,322,94,188,40,51,1809,1496,62119,1526,2
2541,santhiya_suresh2005,13,3,3613,0,India,478036,0,0,288,105,140,43,13,1829,1557,56298,78,2
8504,GeeteshChowdary,7,2,1716,0,India,1027871,0,0,151,40,96,15,2,1560,1511,254942,7,2
9201,Aruna777,7,2,1953,0,,913285,0,0,169,83,83,3,31,1519,1440,331290,154,2
9632,tensen_1,7,2,2102,0,,774862,0,0,197,105,87,5,3,1647,1499,151686,21,2
4635,dhruv999ddrr,13,3,6819,5,,130678,0,0,590,159,354,77,1,1621,1622,176030,0,2
2147,Tejash_Agrawal,13,3,3152,0,,2267108,0,0,56,17,31,8,2,1837,1768,53923,56,2
1479,Dipankar_Sethi,13,3,1917,0,,1452902,20,1,103,34,59,10,16,1817,1487,59711,602,2
3671,kalyanram_2201,13,3,4931,2,India,48617,0,0,852,368,380,104,32,1747,1467,86546,413,2
5858,syossetcoder,7,2,839,0,,1543281,0,0,96,40,49,7,44,1977,1609,23580,476,2
9805,mounish_24_02,7,2,2163,0,India,195566,0,0,488,259,224,5,89,1530,1435,308133,567,2
7386,montasirfahim,7,2,1358,0,,947123,14,2,163,54,104,5,18,1773,1472,75185,798,2
6683,avaneesh1947,7,2,1126,0,,178788,0,0,510,178,318,14,28,1656,1450,143908,497,2
5359,algovortex_45,7,2,583,0,,248056,0,0,432,139,278,15,16,1660,1450,141057,546,2
9073,hudda8556,7,2,1914,1,,530139,25,0,266,118,140,8,24,1685,1569,122005,630,2
4418,bmwee,13,3,5871,2,,1098921,274,2,141,34,95,12,10,1636,1547,161855,483,2
8869,cheesken,7,2,1845,0,United States,337341,53,2,360,119,198,43,25,1635,1494,162585,763,2
4802,VivekChandra04,9,2,2717,0,India,421081,0,0,313,162,144,7,23,1542,1463,285086,175,2
3444,SPK0507,13,3,4682,0,,2122720,0,0,62,25,31,6,3,1509,1414,353353,84,2
5958,balaj,7,2,878,0,India,56164,120,3,811,229,461,121,55,1749,1427,85668,728,2
6361,HaitaanshDixit,7,2,1015,0,,344329,26,1,358,143,185,30,13,1618,1469,179474,616,2
4174,RaBeka,13,3,5511,4,,245315,0,0,433,125,262,46,18,1927,1652,31031,1239,2
3122,devissrani010,13,3,4325,3,India,219344,3,2,460,121,292,47,36,1769,1444,76726,609,2
9513,Prasath_T,7,2,2059,0,India,365706,645,9,343,241,99,3,101,1649,1453,149914,763,2
8493,S_SAISREE,7,2,1714,1,,274250,0,0,408,257,150,1,58,1565,1536,246971,553,2
5610,pavansh07,7,2,729,0,,1041154,0,0,149,110,39,0,22,1752,1505,84434,316,2
7845,Roshini_1115,7,2,1509,0,,310940,0,0,379,201,152,26,21,1737,1547,91520,140,2
6050,PANKAJ_SARWA,7,2,907,0,,238701,0,0,442,153,241,48,10,1555,1434,262405,665,2
4920,feedme2222,9,2,3726,1,,1074753,0,2,144,30,94,20,5,1626,1522,171570,42,2
6359,rahulsingh_001,7,2,1013,0,India,188001,11,1,499,187,274,38,14,1557,1449,259378,217,2
8971,ksushanth9030,7,2,1880,0,,140875,0,0,570,172,369,29,22,1624,1421,173013,574,2
2902,anshulgoyalmpp,13,3,4076,1,India,74906,83,3,733,273,397,63,59,1694,1411,115986,1155,2
1761,muskan_rathee,13,3,2520,0,,270636,0,0,412,152,223,37,23,1616,1414,181965,252,2
8929,dhruvsharma03022,7,2,1865,1,,874561,2,0,178,55,104,19,18,1670,1500,133378,308,2
5206,akshat_chitransh,7,2,373,0,,979324,0,0,167,75,82,10,4,1645,1618,153563,70,2
2790,prahladk,13,3,3935,0,India,17312,1142,3,1161,348,677,136,39,1827,1415,56781,1442,2
5237,0mMVthcaES,7,2,430,0,India,648301,0,0,229,150,76,3,7,1593,1428,207500,427,2
7644,Dikshita97,7,2,1438,0,India,330489,0,0,365,127,207,31,33,1674,1411,130213,721,2
6326,pranavoswal23,7,2,1000,0,India,116863,4,1,617,205,321,91,37,1635,1499,163006,246,2
5611,specscode,7,2,731,0,India,712624,0,0,217,60,125,32,8,1848,1652,51174,126,2
5051,ua592825,9,2,4740,4,,61184,129,2,787,309,444,34,251,1817,1444,59692,1757,2
4278,Nishant05092,13,3,5634,5,,248155,0,0,431,179,211,41,23,1826,1512,57205,140,2
4719,bibeksah076,9,2,1417,0,India,567218,7,0,253,105,127,21,21,1640,1435,158178,392,2
3846,Mehul_Gupta_019,13,3,5126,6,India,34141,0,0,955,344,460,151,34,1965,1529,25146,280,2
7321,Supriyasahoo11,7,2,1339,0,,1457592,0,0,103,50,48,5,8,1562,1416,252078,28,2
4704,TousifTamboli,9,2,1051,0,India,2618816,0,0,47,12,24,11,5,1637,1571,160599,21,2
4693,VAISHNAVI_YAMANA9,10,2,3363,0,,5000001,0,0,3,1,1,1,3,1483,1433,425212,28,2
4534,rajooo,13,3,6173,3,India,146585,0,0,566,173,321,72,25,1671,1472,132271,316,2
2895,pradeepm78,13,3,4067,0,India,162766,5,0,533,226,274,33,65,1893,1411,38267,560,2
8840,uchiha-itachi-21,7,2,1833,1,,549911,19,0,259,137,112,10,6,1570,1416,239976,182,2
7960,GauravSharma1919,7,2,1547,0,,439950,7,0,304,88,184,32,6,1616,1535,182107,196,2
515,balaji_018,19,4,3797,2,,251259,0,1,428,114,254,60,26,2052,1538,15741,504,2
246,thakur_shivansh,19,4,2661,1,India,1196008,294,7,129,38,66,25,9,2008,1714,19959,70,2
7746,Padmaja_2440,7,2,1474,1,,293953,0,0,392,287,97,8,64,1601,1414,198408,539,2
2574,XYnIJnrIj3,13,3,3655,1,,967891,0,0,160,58,88,14,18,1967,1578,24871,154,2
6862,himanshuR23,7,2,1192,0,,355805,0,0,350,116,203,31,25,1659,1507,141252,302,2
8056,Deepak9755,7,2,1574,0,,725952,0,0,208,107,93,8,2,1490,1415,403292,0,2
2432,jugshaurya,13,3,3488,2,India,78799,63,0,720,124,420,176,35,2220,1630,6554,546,2
375,AtharvaModi,19,4,3271,0,,2812554,0,0,40,15,17,8,9,2040,1531,16755,35,2
2945,rtyrockers,13,3,4123,2,,309535,0,0,380,109,234,37,43,1946,1460,27883,525,2
5548,samyak_10,7,2,695,0,India,327913,427,7,367,138,200,29,17,1757,1607,81950,245,2
6262,DhruvRawat_2421,7,2,981,0,India,399571,1933,19,324,169,141,14,14,1652,1473,147089,315,2
7306,otaku_jay,7,2,1334,0,,138675,0,0,575,195,330,50,5,1654,1440,145400,644,2
8336,Harsha9798,7,2,1659,0,India,193962,2,11,492,240,229,23,18,1591,1471,210890,252,2
6985,yn123,7,2,1235,0,,306770,4,4,383,141,213,29,43,1774,1488,74902,518,2
5334,Kunalkasana,7,2,561,0,,178635,0,0,510,225,256,29,17,1741,1463,89212,714,2
410,NEEHARIKA3666,19,4,3419,0,,5000001,0,0,9,3,4,2,2,1803,1623,64302,7,2
5285,abhaysy80,7,2,500,0,India,67156,0,0,762,333,371,58,44,1838,1458,53857,931,2
1057,Ayush_gupta_2004,19,4,5626,4,India,64995,274,7,771,234,420,117,10,1925,1539,31514,910,2
9746,charanteja_45,7,2,2140,3,,1267878,0,0,121,69,48,4,9,1538,1489,293330,162,2
7032,Ntp82SJvuv,7,2,1248,1,,25882,166,210,1040,237,668,135,14,1812,1589,61401,77,2
6741,Karthik_Gutti_,7,2,1150,1,India,1457551,0,0,103,21,61,21,11,1658,1611,142082,140,2
4935,Mahak_Gupta9005,9,2,3830,0,India,1508506,0,0,99,61,31,7,2,1547,1448,276852,147,2
3947,kartikagg102006,13,3,5247,5,,354137,8,0,350,92,221,37,9,1636,1502,161809,252,2
1033,tsehsuan1102,19,4,5509,2,Taiwan,239071,0,0,440,147,224,69,6,1872,1670,43609,378,2
4644,Divyacode7,13,3,6884,7,,1034697,0,0,150,60,79,11,2,1627,1622,170432,7,2
3980,laya-debug,13,3,5272,1,,477876,0,0,287,88,157,42,30,1636,1414,161346,266,2
4616,_NIKHIL_N_1218,13,3,6619,6,India,87449,395,34,692,219,403,70,51,1904,1414,35761,420,2
916,ankitkr_04,19,4,5120,4,India,439735,10,0,304,97,175,32,4,1718,1543,101225,777,2
5961,nishanth_fx,7,2,879,0,India,742997,0,0,204,92,104,8,27,1717,1640,102284,448,2
9011,Mouryankit,7,2,1893,0,,160669,18,0,537,231,287,19,33,1616,1474,181889,470,2
5503,samarth_296,7,2,674,0,,752495,2,0,203,75,112,16,19,1645,1448,153418,182,2
695,sohankk1806,19,4,4390,1,India,760599,0,0,200,75,117,8,31,1824,1457,57685,588,2
8259,ishan_7358,7,2,1638,1,India,48421,8,0,855,298,493,64,28,1591,1593,210781,546,2
767,Zoey0613,19,4,4630,1,,693602,0,0,216,56,124,36,2,1860,1735,47257,7,2
7627,Sourabhmadaan,7,2,1432,1,India,100237,28,5,658,230,376,52,24,1613,1466,184500,763,2
8398,BakshiSuhas,7,2,1681,0,,3034107,0,0,35,18,15,2,5,1543,1454,283983,50,2
1277,sreyas555,15,3,3734,1,India,313673,0,0,377,297,75,5,64,1496,1414,387749,546,2
8839,Jitendra_Mosulpuri,7,2,1833,1,India,34723,4,0,949,242,578,129,36,1732,1414,94176,448,2
3442,alphabeta_26,13,3,4682,1,,2455232,0,0,50,14,28,8,14,1895,1669,37742,204,2
4328,404IQFound,13,3,5693,1,,4157316,0,0,19,11,6,2,3,1668,1527,134308,7,2
656,Sahil__Kumar__,19,4,4273,1,,280034,0,0,403,114,223,66,32,2074,1460,14144,308,2
2110,Ritikaa_k,13,3,3102,0,,93312,0,0,686,120,472,94,3,1645,1613,153179,7,2
9293,o0OCb2LWTV,7,2,1988,0,,1345818,0,0,113,37,68,8,3,1656,1636,143587,21,2
4664,sakshibharti_08,13,3,7192,6,,456564,0,0,296,91,174,31,4,1627,1514,170175,420,2
8976,Tejaspk_123,7,2,1881,0,India,359031,0,0,349,82,208,59,18,1632,1496,165830,98,2
3642,Sugnyan_SA7,13,3,4902,1,,332000,2017,35,364,183,160,21,42,1632,1452,165044,658,2
2439,satyamshahdeo9934,13,3,3498,0,,137536,0,0,577,174,317,86,16,1754,1432,83419,364,2
6422,kaysav18,7,2,1035,0,India,98326,406,9,661,405,242,14,105,1826,1438,57266,546,2
6293,AC_Mikoto,7,2,987,0,,90698,0,0,682,30,326,326,4,1861,1782,46968,588,2
5947,FBAeNJGnYbUwA4NEzdaV6F78a8C2K,7,2,869,0,,4790805,0,0,14,5,9,0,5,1731,1669,94652,14,2
2758,Kinshuk_Gaurav,13,3,3897,0,,2195322,3,0,59,24,31,4,9,1682,1551,124501,77,2
3110,piyushkumar41,13,3,4313,0,,992175,0,2,157,39,87,31,9,1815,1550,60405,126,2
6736,Shivam_dtu,7,2,1147,1,India,261180,256,26,420,139,232,49,13,1566,1415,245388,294,2
968,fool_lovesCP,19,4,5264,4,,5000001,0,0,4,1,1,2,1,1733,1734,93152,0,2
7722,varun_mishra1,7,2,1467,0,,2897728,0,0,38,23,14,1,2,1572,1519,236340,0,2
10000,anay-joshi,7,2,2232,0,India,719639,0,0,209,72,109,28,3,1528,1531,312278,7,2
387,arunrawat9707,19,4,3335,0,India,367521,49,4,342,171,122,49,13,1884,1414,40529,105,2
6075,Hemhalatha_15_,7,2,921,0,India,35242,114,2,945,556,365,24,101,1886,1426,39845,567,2
7926,itsashishgupta_98388,7,2,1534,0,,277756,0,0,406,151,231,24,26,1629,1421,168126,434,2
6674,code_fucker_01,7,2,1123,0,India,494501,0,0,281,107,141,33,7,1636,1493,161917,273,2
9329,SuyashR25,7,2,2000,0,,576920,0,1,250,116,130,4,11,1591,1497,209999,105,2
492,_sm,19,4,3711,0,,384721,3,0,333,142,161,30,15,1919,1595,32478,406,2
4218,akhi_code,13,3,5561,2,,638263,0,0,231,144,74,13,12,1527,1445,314202,196,2
289,Mr_Syntax,19,4,2893,0,India,1035499,0,0,150,33,92,25,7,1944,1836,28252,266,2
5146,dineshs143u,9,2,5527,1,India,54518,483,3,821,319,424,78,4,1507,1496,358677,252,2
338,harrisonWells,19,4,3120,0,India,6567,147,3,1494,309,888,297,52,2011,1432,19721,1036,2
8965,SiddharthKumarMishra,7,2,1877,0,,103037,842,30,649,180,380,89,32,1781,1594,72013,644,2
1256,jairath_angel,15,3,1983,0,,1377891,3,1,110,76,32,2,14,1616,1510,181502,78,2
3096,aGAHjF9wY7,13,3,4299,2,,56547,0,1,810,184,462,164,13,1712,1416,105154,140,2
6929,shadow_algo,7,2,1216,0,,1091660,0,0,142,65,71,6,5,1745,1598,87568,413,2
4483,hewhocodes,13,3,5975,3,India,105137,0,0,644,211,354,79,106,2528,1474,1417,805,2
2444,luise1030,13,3,3508,0,Taiwan,24587,0,0,1052,357,585,110,254,1777,1506,73836,2814,2
8325,Harshit_295,7,2,1655,1,India,224215,3374,42,455,172,253,30,18,1638,1459,159598,238,2
798,luluowls,19,4,4737,0,,706,0,0,2556,470,1287,799,74,2194,1585,7603,791,2
3545,Atifsidd,13,3,4806,2,India,459771,0,0,295,86,177,32,10,1544,1497,281700,140,2
7065,eA1IscxutD,7,2,1260,0,,4636675,0,0,15,8,7,0,7,1575,1528,232359,56,2
1672,ajayprem,13,3,2347,0,India,9003,4466,31,1381,440,777,164,94,2054,1520,15629,1337,2
5977,siddhxnt,7,2,886,0,India,566526,0,0,253,91,145,17,13,1718,1480,101692,840,2
9203,vermaparas660,7,2,1954,1,India,130168,0,1,589,187,361,41,24,1696,1600,114817,1106,2
3977,Yashaswini_K_P,13,3,5271,0,India,519875,4,3,271,117,144,10,13,1671,1452,132391,350,2
5851,agrimgupta027,7,2,837,0,India,237705,158,4,442,189,216,37,19,1729,1488,95278,322,2
7086,Sumitray2355,7,2,1265,0,,84639,2,0,702,191,440,71,30,1792,1491,68250,294,2
4874,jeevapriyan10,9,2,3378,0,India,63895,11,0,776,398,343,35,69,1787,1456,69741,553,2
7147,ni_ket97,7,2,1286,0,,462059,8,0,295,112,161,22,34,1739,1520,90538,190,2
6667,bala607,7,2,1120,1,India,16928,5,0,1169,434,633,102,109,2047,1472,16066,770,2
9297,monvitavejella,7,2,1989,1,,1388186,0,0,109,69,38,2,32,1518,1421,334383,392,2
6716,marammanusri_05,7,2,1140,0,,399564,0,0,325,134,145,46,17,1602,1449,197713,357,2
8787,professor3116,7,2,1816,1,India,89043,294,195,688,317,345,26,40,1712,1445,104714,462,2
994,niteshpc2424,19,4,5359,1,,685490,1040,9,224,84,120,20,15,1867,1566,45000,133,2
7700,partial_lively,7,2,1460,0,,685539,0,0,218,41,168,9,14,1602,1463,197404,420,2
4256,JayendraSingh2006,13,3,5605,1,India,374213,4,0,338,93,198,47,3,1592,1511,209585,7,2
8277,saxenaradhika49,7,2,1642,0,,844014,1,0,183,88,85,10,1,1572,1573,236398,0,2
6556,Vishal3720N,7,2,1081,0,India,449165,0,0,301,111,171,19,11,1489,1518,407947,140,2
6589,AkshatJan,7,2,1096,0,India,231869,9,80,447,180,231,36,14,1619,1416,178548,168,2
9427,YashvardhanShekhar,7,2,2033,2,India,261333,0,3,419,94,274,51,16,1704,1614,109625,218,2
7305,Tushar_Kukreti,7,2,1334,1,India,67210,13,0,762,218,436,108,48,1907,1474,34939,609,2
4733,CVNarenthiran,9,2,1714,2,,2145659,0,0,61,44,15,2,24,1677,1452,127727,189,2
5088,zcNXWNnkxs,9,2,4959,3,,5000001,0,0,6,2,3,1,3,1577,1498,229722,14,2
6737,tarak_29,7,2,1148,0,,90831,0,0,682,269,366,47,34,1765,1432,78322,358,2
6684,nav-singh,7,2,1126,1,India,662266,3,1,224,76,127,21,78,1939,1685,28963,1086,2
2504,Akhil_nakka,13,3,3581,2,,509385,0,0,274,143,117,14,56,1893,1473,38179,518,2
8172,NavyaShree2309,7,2,1612,1,India,305664,0,0,383,239,114,30,36,1560,1438,255459,414,2
5761,7aOaaKYRYk,7,2,797,0,,96606,5,0,666,429,223,14,78,1635,1413,162489,553,2
2824,phanijana,13,3,3984,3,India,250262,4,15,430,130,236,64,22,1694,1481,116164,232,2
4877,yadavkp,9,2,3411,1,India,170946,6,1,521,186,281,54,19,1585,1517,217890,280,2
5106,kunj_shah_2908,9,2,5096,1,,237560,0,0,441,125,278,38,4,1532,1462,304517,35,2
8589,rohit_1509,7,2,1745,0,,1961806,0,0,69,44,25,0,16,1380,1433,769827,1351,2
1578,Scooter1946,13,3,2154,1,,1615574,0,0,90,37,41,12,16,2085,1636,13358,833,2
3897,CodeVik,13,3,5182,2,,51577,0,2,835,178,515,142,2,1584,1480,219479,2296,2
4139,vrajmistry0311,13,3,5447,2,India,241305,0,0,437,132,261,44,45,1799,1447,65802,1414,2
543,xy-li,19,4,3894,0,,1674,11796,162,2078,503,1110,465,389,2506,1552,1585,3206,2
1609,pra_sad_9,13,3,2208,0,India,355018,0,0,349,159,158,32,56,1679,1446,126843,1365,2
3286,YPC_151,13,3,4500,2,India,67458,58,3,761,366,370,25,47,1854,1449,49266,546,2
6585,itsanmol27,7,2,1094,1,,68989,10,0,756,273,377,106,31,1870,1471,44096,315,2
2850,yoha_shree,13,3,4023,0,,5000001,0,0,7,1,4,2,2,1583,1659,220852,7,2
3208,Ambar-Gupta,13,3,4411,2,India,28548,5,0,1010,326,587,97,60,1663,1499,138361,364,2
2207,dhruv_jani_0808,13,3,3231,3,India,127864,39127,516,596,230,289,77,5,1801,1672,65049,35,2
5113,alphe299,9,2,5158,0,,819889,0,0,187,42,127,18,3,1537,1444,294010,14,2
7874,Matheswaran_S,7,2,1518,0,India,263552,168,13,417,172,220,25,19,1733,1433,93515,252,2
8134,Sai-Supriya,7,2,1599,0,,270594,0,0,411,211,186,14,32,1671,1482,132035,385,2
3788,VlacowKtxz,13,3,5065,2,,438027,0,0,306,88,216,2,20,1755,1577,82821,140,2
163,satviksawhney,19,4,2146,0,India,114615,8,0,622,188,332,102,12,2020,1452,18665,511,2
8086,Latha_Rathod,7,2,1585,0,India,1839077,0,0,76,22,42,12,2,1489,1414,407174,49,2
3964,sasaurabh11,13,3,5261,3,India,10298,0,2,1334,357,763,214,131,2061,1425,15022,952,2
224,24BLC1093Kavin,19,4,2564,0,,5000001,0,0,8,2,3,3,2,1886,1698,39835,0,2
945,aditya7285,19,4,5183,0,,1229240,0,0,125,72,49,4,8,1637,1493,160811,56,2
3363,rhaegar18,13,3,4582,5,,1276367,0,0,120,75,39,6,7,1720,1691,100509,203,2
9900,8SuQNn6boT,7,2,2200,0,,5000001,0,0,9,6,3,0,4,1487,1444,414377,21,2
4382,Jorimi,13,3,5809,3,,43260,1,2,884,326,475,83,41,1842,1433,52776,329,2
1529,SannidhVarmaPinnamaraju,13,3,2038,0,,4275108,0,0,18,4,10,4,1,1703,1703,110623,0,2
6528,I3yyOxJyRc,7,2,1072,1,,5000001,0,0,4,2,2,0,2,1578,1513,227489,42,2
1345,Titan_261205,13,3,1147,0,,1583036,120,1,93,39,53,1,5,1807,1630,62803,42,2
3711,annareddysreenathreddy,13,3,4976,2,India,89082,4069,53,689,178,396,115,27,1798,1444,66144,602,2
3911,ajydeep,13,3,5196,0,,953402,8,0,162,77,80,5,44,1660,1412,140442,806,2
1405,pradhumn_sh15,13,3,1592,0,India,5935,1002,38,1530,449,870,211,61,2062,1414,14986,1708,2
3406,srijannn17,13,3,4638,1,India,374219,235,14,339,115,194,30,15,1865,1551,45837,350,2
7122,sen_aniket_972002,7,2,1277,1,India,2989407,0,0,36,3,25,8,3,1785,1717,70551,7,2
3455,__pinaka007,13,3,4695,1,,12402,352,1,1273,282,755,236,74,2029,1558,17758,616,2
8972,Jeevan_NN,7,2,1880,0,,316417,0,0,375,308,65,2,30,1519,1412,332093,532,2
1236,varmah,19,4,7480,10,United States,899349,3,0,171,45,105,21,1,1717,1718,101909,0,2
9924,apoorvaraj3,7,2,2206,1,,389621,0,-11,330,91,220,19,14,1698,1526,113769,582,2
385,Fzldq,19,4,3325,1,,109548,0,0,633,28,293,312,189,2612,1478,954,1393,2
9846,hell_233,7,2,2181,0,India,155153,3,0,545,221,276,48,16,1623,1474,174466,126,2
3485,Shobiy,13,3,4732,0,,729835,0,0,207,85,113,9,16,1590,1493,211800,154,2
8884,tejasmittal,7,2,1849,1,India,50055,0,0,844,212,485,147,28,1650,1510,149459,582,2
2999,C_S_AKSHAY_KHANNA_REDDY,13,3,4190,0,,3968234,0,0,21,10,10,1,10,1538,1494,292262,112,2
8333,Anonymous_coder-1,7,2,1658,1,India,112907,2,6,628,260,327,41,37,1897,1598,37331,414,2
4713,Ashishjy123,9,2,1303,0,,844901,0,0,182,81,92,9,2,1548,1621,275088,7,2
3560,ChakradharG,13,3,4819,2,United States,5239,0,10,1579,475,829,275,104,2017,1512,19020,833,2
6432,Pratik_pantawane,7,2,1038,0,,277708,729,6,405,147,228,30,49,1689,1456,119805,616,2
9105,shahid_shaikh23,7,2,1925,0,India,280343,0,1,403,125,230,48,14,1593,1450,208494,210,2
9996,devanandms__,7,2,2230,0,,1933951,0,0,72,35,30,7,2,1551,1515,269035,42,2
756,parthsarasvat,19,4,4591,2,,104296,0,2,646,180,372,94,10,1943,1490,28372,98,2
1715,Howltout,13,3,2433,1,India,49835,3,0,845,262,469,114,17,1707,1414,107784,448,2
2312,Achintya_25,13,3,3339,3,India,202058,0,0,487,164,300,23,9,1682,1482,124627,336,2
2173,shashwat1027,13,3,3194,1,,2854775,0,0,39,9,22,8,3,1841,1698,53030,14,2
9896,joyhsy,7,2,2198,1,,21160,0,1,1099,355,618,126,70,1776,1559,73881,658,2
3791,5lipet,13,3,5068,3,,3986,29,0,1679,287,972,420,130,1913,1507,33672,1029,2
2292,ksrinivaspramod30,13,3,3319,0,India,319146,0,0,373,133,217,23,23,1943,1481,28396,560,2
2612,adarsh9695,13,3,3706,0,,306983,0,0,382,106,248,28,41,1982,1497,22982,462,2
8288,fabvivek,7,2,1644,0,India,281469,4,0,402,169,214,19,25,1548,1414,275196,456,2
5940,pulkit1417,7,2,867,0,India,216710,0,0,465,186,232,47,8,1487,1411,411833,413,2
9173,tanishq_oo7,7,2,1946,1,India,87801,38,21,691,250,353,88,21,1734,1487,93095,259,2
5889,Raja_G_1965,7,2,855,0,India,200389,9,0,482,201,250,31,23,1621,1536,176713,217,2
8813,kaduru_ramesh,7,2,1823,0,India,1859115,0,0,76,42,31,3,7,1625,1640,172110,56,2
7120,niheeth,7,2,1277,0,,687812,0,0,217,49,152,16,27,1758,1450,81245,322,2
792,plxelpusher,19,4,4716,6,Canada,3016,3469,90,1792,403,1066,323,69,2183,1559,8090,854,2
2670,Girish_5102,13,3,3781,0,,501546,0,0,277,100,161,16,23,1662,1465,139564,672,2
8312,himanshugour23,7,2,1650,0,India,236733,49,4,443,162,234,47,20,1717,1491,101963,308,2
5910,22A31A4256,7,2,858,0,India,136030,67,3,578,220,274,84,8,1664,1524,137352,336,2
